dim1,dim2,dim3,feat_eng_name,feat_chn_name
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_ncl_overdue_account_cnt,“账户类型”为“非循环贷账户”的账户数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_ncl_overdue_mth_cnt,“账户类型”为“非循环贷账户”的月份数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_ncl_overdue_max_amt,“账户类型”为“非循环贷账户”的单月最高逾期总额
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_ncl_overdue_longest_mths,“账户类型”为“非循环贷账户”的最长逾期/透支月数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cl1_overdue_account_cnt,“账户类型”为“循环额度下分账户”的账户数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cl1_overdue_mth_cnt,“账户类型”为“循环额度下分账户”的月份数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cl1_overdue_max_amt,“账户类型”为“循环额度下分账户”的单月最高逾期总额
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cl1_overdue_longest_mths,“账户类型”为“循环额度下分账户”的最长逾期/透支月数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cl2_overdue_account_cnt,“账户类型”为“循环贷账户”的账户数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cl2_overdue_mth_cnt,“账户类型”为“循环贷账户”的月份数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cl2_overdue_max_amt,“账户类型”为“循环贷账户”的单月最高逾期总额
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cl2_overdue_longest_mths,“账户类型”为“循环贷账户”的最长逾期/透支月数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cc_overdue_account_cnt,“账户类型”为“贷记卡账户”的账户数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cc_overdue_mth_cnt,“账户类型”为“贷记卡账户”的月份数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cc_overdue_max_amt,“账户类型”为“贷记卡账户”的单月最高逾期总额
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cc_overdue_longest_mths,“账户类型”为“贷记卡账户”的最长逾期/透支月数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cc1_overdue_account_cnt,“账户类型”为“准贷记卡账户”的账户数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cc1_overdue_mth_cnt,“账户类型”为“准贷记卡账户”的月份数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cc1_overdue_max_amt,“账户类型”为“准贷记卡账户”的单月最高逾期总额
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_cc1_overdue_longest_mths,“账户类型”为“准贷记卡账户”的最长逾期/透支月数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_type_cnt,账户类型数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_type_prop,账户类型占比
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_count,各种“账户类型”下“账户数”的数量
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_count,各种“账户类型”下“月份数”的数量
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_count,各种“账户类型”下“单月最高逾期/透支总额”的数量
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_count,各种“账户类型”下“最长逾期/透支月数”的数量
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_max,各种“账户类型”下“账户数”的最大值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_max,各种“账户类型”下“月份数”的最大值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_max,各种“账户类型”下“单月最高逾期/透支总额”的最大值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_max,各种“账户类型”下“最长逾期/透支月数”的最大值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_min,各种“账户类型”下“账户数”的最小值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_min,各种“账户类型”下“月份数”的最小值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_min,各种“账户类型”下“单月最高逾期/透支总额”的最小值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_min,各种“账户类型”下“最长逾期/透支月数”的最小值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_mean,各种“账户类型”下“账户数”的平均值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_mean,各种“账户类型”下“月份数”的平均值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_mean,各种“账户类型”下“单月最高逾期/透支总额”的平均值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_mean,各种“账户类型”下“最长逾期/透支月数”的平均值
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_median,各种“账户类型”下“账户数”的中位数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_median,各种“账户类型”下“月份数”的中位数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_median,各种“账户类型”下“单月最高逾期/透支总额”的中位数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_median,各种“账户类型”下“最长逾期/透支月数”的中位数
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_sum,各种“账户类型”下“账户数”的总和
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_sum,各种“账户类型”下“月份数”的总和
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_sum,各种“账户类型”下“单月最高逾期/透支总额”的总和
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_sum,各种“账户类型”下“最长逾期/透支月数”的总和
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_std,各种“账户类型”下“账户数”的标准差
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_std,各种“账户类型”下“月份数”的标准差
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_std,各种“账户类型”下“单月最高逾期/透支总额”的标准差
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_std,各种“账户类型”下“最长逾期/透支月数”的标准差
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_max_cate_is_ncl,“账户数”最大的“账户类型”是“非循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_min_cate_is_ncl,“账户数”最小的“账户类型”是“非循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_max_cate_is_cl1,“账户数”最大的“账户类型”是“循环额度下分账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_min_cate_is_cl1,“账户数”最小的“账户类型”是“循环额度下分账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_max_cate_is_cl2,“账户数”最大的“账户类型”是“循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_min_cate_is_cl2,“账户数”最小的“账户类型”是“循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_max_cate_is_cc,“账户数”最大的“账户类型”是“贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_min_cate_is_cc,“账户数”最小的“账户类型”是“贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_max_cate_is_cc1,“账户数”最大的“账户类型”是“准贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_account_cnt_min_cate_is_cc1,“账户数”最小的“账户类型”是“准贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_max_cate_is_ncl,“月份数”最大的“账户类型”是“非循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_min_cate_is_ncl,“月份数”最小的“账户类型”是“非循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_max_cate_is_cl1,“月份数”最大的“账户类型”是“循环额度下分账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_min_cate_is_cl1,“月份数”最小的“账户类型”是“循环额度下分账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_max_cate_is_cl2,“月份数”最大的“账户类型”是“循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_min_cate_is_cl2,“月份数”最小的“账户类型”是“循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_max_cate_is_cc,“月份数”最大的“账户类型”是“贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_min_cate_is_cc,“月份数”最小的“账户类型”是“贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_max_cate_is_cc1,“月份数”最大的“账户类型”是“准贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_mth_cnt_min_cate_is_cc1,“月份数”最小的“账户类型”是“准贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_max_cate_is_ncl,“单月最高逾期总额”最大的“账户类型”是“非循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_min_cate_is_ncl,“单月最高逾期总额”最小的“账户类型”是“非循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_max_cate_is_cl1,“单月最高逾期总额”最大的“账户类型”是“循环额度下分账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_min_cate_is_cl1,“单月最高逾期总额”最小的“账户类型”是“循环额度下分账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_max_cate_is_cl2,“单月最高逾期总额”最大的“账户类型”是“循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_min_cate_is_cl2,“单月最高逾期总额”最小的“账户类型”是“循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_max_cate_is_cc,“单月最高逾期总额”最大的“账户类型”是“贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_min_cate_is_cc,“单月最高逾期总额”最小的“账户类型”是“贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_max_cate_is_cc1,“单月最高逾期总额”最大的“账户类型”是“准贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_max_amt_min_cate_is_cc1,“单月最高逾期总额”最小的“账户类型”是“准贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_max_cate_is_ncl,“最长逾期/透支月数”最大的“账户类型”是“非循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_min_cate_is_ncl,“最长逾期/透支月数”最小的“账户类型”是“非循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_max_cate_is_cl1,“最长逾期/透支月数”最大的“账户类型”是“循环额度下分账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_min_cate_is_cl1,“最长逾期/透支月数”最小的“账户类型”是“循环额度下分账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_max_cate_is_cl2,“最长逾期/透支月数”最大的“账户类型”是“循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_min_cate_is_cl2,“最长逾期/透支月数”最小的“账户类型”是“循环贷账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_max_cate_is_cc,“最长逾期/透支月数”最大的“账户类型”是“贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_min_cate_is_cc,“最长逾期/透支月数”最小的“账户类型”是“贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_max_cate_is_cc1,“最长逾期/透支月数”最大的“账户类型”是“准贷记卡账户”与否
信息概要,信贷交易违约信息概要,逾期(透支)信息汇总,pboc_overdue_longest_mths_min_cate_is_cc1,“最长逾期/透支月数”最小的“账户类型”是“准贷记卡账户”与否
