module,versions
Wiki-words-250,1
Wiki-words-250-with-normalization,1
Wiki-words-500,1
Wiki-words-500-with-normalization,1
bert_cased_L-12_H-768_A-12,1
bert_cased_L-24_H-1024_A-16,1
bert_chinese_L-12_H-768_A-12,1
bert_multi_cased_L-12_H-768_A-12,1
bert_uncased_L-12_H-768_A-12,1
bert_uncased_L-24_H-1024_A-16,1
biggan-128,2
biggan-256,2
biggan-512,2
biggan-deep-128,1
biggan-deep-256,1
biggan-deep-512,1
compare_gan-model_10_lsun_bedroom_resnet19,1
compare_gan-model_11_cifar10_resnet_cifar,1
compare_gan-model_12_cifar10_resnet_cifar,1
compare_gan-model_13_cifar10_resnet_cifar,1
compare_gan-model_14_cifar10_resnet_cifar,1
compare_gan-model_15_cifar10_resnet_cifar,1
compare_gan-model_1_celebahq128_resnet19,1
compare_gan-model_2_celebahq128_resnet19,1
compare_gan-model_3_lsun_bedroom_resnet19,1
compare_gan-model_4_lsun_bedroom_resnet19,1
compare_gan-model_5_celebahq128_resnet19,1
compare_gan-model_6_celebahq128_resnet19,1
compare_gan-model_7_lsun_bedroom_resnet19,1
compare_gan-model_8_lsun_bedroom_resnet19,1
compare_gan-model_9_celebahq128_resnet19,1
compare_gan-s3gan_20_128x128,1
compare_gan-s3gan_2_5_128x128,1
compare_gan-s3gan_5_128x128,1
delf,1
elmo,2
faster_rcnn-openimages_v4-inception_resnet_v2,1
ganeval-cifar10-convnet,1
i3d-kinetics-400,1
i3d-kinetics-600,1
image_augmentation-crop_color,1
image_augmentation-crop_rotate_color,1
image_augmentation-flipx_crop_rotate_color,1
image_augmentation-nas_cifar,1
image_augmentation-nas_imagenet,1
image_augmentation-nas_svhn,1
imagenet-amoebanet_a_n18_f448-classification,1
imagenet-amoebanet_a_n18_f448-feature_vector,1
imagenet-inception_resnet_v2-classification,2
imagenet-inception_resnet_v2-feature_vector,2
imagenet-inception_v1-classification,2
imagenet-inception_v1-feature_vector,2
imagenet-inception_v2-classification,2
imagenet-inception_v2-feature_vector,2
imagenet-inception_v3-classification,2
imagenet-inception_v3-feature_vector,2
imagenet-mobilenet_v1_025_128-classification,2
imagenet-mobilenet_v1_025_128-feature_vector,2
imagenet-mobilenet_v1_025_128-quantops-classification,2
imagenet-mobilenet_v1_025_128-quantops-feature_vector,2
imagenet-mobilenet_v1_025_160-classification,2
imagenet-mobilenet_v1_025_160-feature_vector,2
imagenet-mobilenet_v1_025_160-quantops-classification,2
imagenet-mobilenet_v1_025_160-quantops-feature_vector,2
imagenet-mobilenet_v1_025_192-classification,2
imagenet-mobilenet_v1_025_192-feature_vector,2
imagenet-mobilenet_v1_025_192-quantops-classification,2
imagenet-mobilenet_v1_025_192-quantops-feature_vector,2
imagenet-mobilenet_v1_025_224-classification,2
imagenet-mobilenet_v1_025_224-feature_vector,2
imagenet-mobilenet_v1_025_224-quantops-classification,2
imagenet-mobilenet_v1_025_224-quantops-feature_vector,2
imagenet-mobilenet_v1_050_128-classification,2
imagenet-mobilenet_v1_050_128-feature_vector,2
imagenet-mobilenet_v1_050_128-quantops-classification,2
imagenet-mobilenet_v1_050_128-quantops-feature_vector,2
imagenet-mobilenet_v1_050_160-classification,2
imagenet-mobilenet_v1_050_160-feature_vector,2
imagenet-mobilenet_v1_050_160-quantops-classification,2
imagenet-mobilenet_v1_050_160-quantops-feature_vector,2
imagenet-mobilenet_v1_050_192-classification,2
imagenet-mobilenet_v1_050_192-feature_vector,2
imagenet-mobilenet_v1_050_192-quantops-classification,2
imagenet-mobilenet_v1_050_192-quantops-feature_vector,2
imagenet-mobilenet_v1_050_224-classification,2
imagenet-mobilenet_v1_050_224-feature_vector,2
imagenet-mobilenet_v1_050_224-quantops-classification,2
imagenet-mobilenet_v1_050_224-quantops-feature_vector,2
imagenet-mobilenet_v1_075_128-classification,2
imagenet-mobilenet_v1_075_128-feature_vector,2
imagenet-mobilenet_v1_075_128-quantops-classification,2
imagenet-mobilenet_v1_075_128-quantops-feature_vector,2
imagenet-mobilenet_v1_075_160-classification,2
imagenet-mobilenet_v1_075_160-feature_vector,2
imagenet-mobilenet_v1_075_160-quantops-classification,2
imagenet-mobilenet_v1_075_160-quantops-feature_vector,2
imagenet-mobilenet_v1_075_192-classification,2
imagenet-mobilenet_v1_075_192-feature_vector,2
imagenet-mobilenet_v1_075_192-quantops-classification,2
imagenet-mobilenet_v1_075_192-quantops-feature_vector,2
imagenet-mobilenet_v1_075_224-classification,2
imagenet-mobilenet_v1_075_224-feature_vector,2
imagenet-mobilenet_v1_075_224-quantops-classification,2
imagenet-mobilenet_v1_075_224-quantops-feature_vector,2
imagenet-mobilenet_v1_100_128-classification,2
imagenet-mobilenet_v1_100_128-feature_vector,2
imagenet-mobilenet_v1_100_128-quantops-classification,2
imagenet-mobilenet_v1_100_128-quantops-feature_vector,2
imagenet-mobilenet_v1_100_160-classification,2
imagenet-mobilenet_v1_100_160-feature_vector,2
imagenet-mobilenet_v1_100_160-quantops-classification,2
imagenet-mobilenet_v1_100_160-quantops-feature_vector,2
imagenet-mobilenet_v1_100_192-classification,2
imagenet-mobilenet_v1_100_192-feature_vector,2
imagenet-mobilenet_v1_100_192-quantops-classification,2
imagenet-mobilenet_v1_100_192-quantops-feature_vector,2
imagenet-mobilenet_v1_100_224-classification,2
imagenet-mobilenet_v1_100_224-feature_vector,2
imagenet-mobilenet_v1_100_224-quantops-classification,2
imagenet-mobilenet_v1_100_224-quantops-feature_vector,2
imagenet-mobilenet_v2_035_128-classification,3
imagenet-mobilenet_v2_035_128-feature_vector,3
imagenet-mobilenet_v2_035_160-classification,3
imagenet-mobilenet_v2_035_160-feature_vector,3
imagenet-mobilenet_v2_035_192-classification,3
imagenet-mobilenet_v2_035_192-feature_vector,3
imagenet-mobilenet_v2_035_224-classification,3
imagenet-mobilenet_v2_035_224-feature_vector,3
imagenet-mobilenet_v2_035_96-classification,3
imagenet-mobilenet_v2_035_96-feature_vector,3
imagenet-mobilenet_v2_050_128-classification,3
imagenet-mobilenet_v2_050_128-feature_vector,3
imagenet-mobilenet_v2_050_160-classification,3
imagenet-mobilenet_v2_050_160-feature_vector,3
imagenet-mobilenet_v2_050_192-classification,3
imagenet-mobilenet_v2_050_192-feature_vector,3
imagenet-mobilenet_v2_050_224-classification,3
imagenet-mobilenet_v2_050_224-feature_vector,3
imagenet-mobilenet_v2_050_96-classification,3
imagenet-mobilenet_v2_050_96-feature_vector,3
imagenet-mobilenet_v2_075_128-classification,3
imagenet-mobilenet_v2_075_128-feature_vector,3
imagenet-mobilenet_v2_075_160-classification,3
imagenet-mobilenet_v2_075_160-feature_vector,3
imagenet-mobilenet_v2_075_192-classification,3
imagenet-mobilenet_v2_075_192-feature_vector,3
imagenet-mobilenet_v2_075_224-classification,3
imagenet-mobilenet_v2_075_224-feature_vector,3
imagenet-mobilenet_v2_075_96-classification,3
imagenet-mobilenet_v2_075_96-feature_vector,3
imagenet-mobilenet_v2_100_128-classification,3
imagenet-mobilenet_v2_100_128-feature_vector,3
imagenet-mobilenet_v2_100_160-classification,3
imagenet-mobilenet_v2_100_160-feature_vector,3
imagenet-mobilenet_v2_100_192-classification,3
imagenet-mobilenet_v2_100_192-feature_vector,3
imagenet-mobilenet_v2_100_224-classification,3
imagenet-mobilenet_v2_100_224-feature_vector,3
imagenet-mobilenet_v2_100_96-classification,3
imagenet-mobilenet_v2_100_96-feature_vector,3
imagenet-mobilenet_v2_130_224-classification,3
imagenet-mobilenet_v2_130_224-feature_vector,3
imagenet-mobilenet_v2_140_224-classification,3
imagenet-mobilenet_v2_140_224-feature_vector,3
imagenet-nasnet_large-classification,2
imagenet-nasnet_large-feature_vector,2
imagenet-nasnet_mobile-classification,2
imagenet-nasnet_mobile-feature_vector,2
imagenet-pnasnet_large-classification,3
imagenet-pnasnet_large-feature_vector,3
imagenet-resnet_v1_101-classification,2
imagenet-resnet_v1_101-feature_vector,2
imagenet-resnet_v1_152-classification,2
imagenet-resnet_v1_152-feature_vector,2
imagenet-resnet_v1_50-classification,2
imagenet-resnet_v1_50-feature_vector,2
imagenet-resnet_v2_101-classification,2
imagenet-resnet_v2_101-feature_vector,2
imagenet-resnet_v2_152-classification,2
imagenet-resnet_v2_152-feature_vector,2
imagenet-resnet_v2_50-classification,2
imagenet-resnet_v2_50-feature_vector,2
inaturalist-inception_v3-feature_vector,2
nnlm-de-dim128,1
nnlm-de-dim128-with-normalization,1
nnlm-de-dim50,1
nnlm-de-dim50-with-normalization,1
nnlm-en-dim128,1
nnlm-en-dim128-with-normalization,1
nnlm-en-dim50,1
nnlm-en-dim50-with-normalization,1
nnlm-es-dim128,1
nnlm-es-dim128-with-normalization,1
nnlm-es-dim50,1
nnlm-es-dim50-with-normalization,1
nnlm-id-dim128,1
nnlm-id-dim128-with-normalization,1
nnlm-id-dim50,1
nnlm-id-dim50-with-normalization,1
nnlm-ja-dim128,1
nnlm-ja-dim128-with-normalization,1
nnlm-ja-dim50,1
nnlm-ja-dim50-with-normalization,1
nnlm-ko-dim128,1
nnlm-ko-dim128-with-normalization,1
nnlm-ko-dim50,1
nnlm-ko-dim50-with-normalization,1
nnlm-zh-dim128,1
nnlm-zh-dim128-with-normalization,1
nnlm-zh-dim50,1
nnlm-zh-dim50-with-normalization,1
openimages_v4-ssd-mobilenet_v2,1
progan-128,1
random-nnlm-en-dim128,1
random-nnlm-en-dim50,1
tf2-preview-gnews-swivel-20dim,1
tf2-preview-gnews-swivel-20dim-with-oov,1
tf2-preview-inception_v3-classification,4
tf2-preview-inception_v3-feature_vector,4
tf2-preview-mobilenet_v2-classification,4
tf2-preview-mobilenet_v2-feature_vector,4
tf2-preview-nnlm-en-dim128,1
tf2-preview-nnlm-en-dim50,1
universal-sentence-encoder,2
universal-sentence-encoder-large,3
universal-sentence-encoder-lite,2
universal-sentence-encoder-xling-en-de,1
universal-sentence-encoder-xling-en-es,1
universal-sentence-encoder-xling-en-fr,1
universal-sentence-encoder-xling-many,1
